1,infeasible,infeasible,19.55711339,2.489417076,0,0.129791021,17.57772333,1.881276131,infeasible,infeasible,infeasible,infeasible,23.14780976,2.724375963,infeasible,infeasible,24.15457368,3.969107151,infeasible,infeasible
2,infeasible,infeasible,0,0.182832956,15.18255667,18.14549398,17.41042893,26.57813597,22.62305928,31.04227901,23.51518161,69.83722115,18.20688627,11.80278897,14.17850568,8.96679616,18.53624211,17.91898108,21.85709069,25.652843
3,0,0.124988079,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,17.63551539,1.513389111,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible
4,16.62394517,12.90306497,23.51841027,5.813843012,14.680581,11.56180286,15.12468873,8.364500999,0,0.138767958,14.94112897,8.905520916,14.92787396,15.63239312,14.28822263,21.61996198,13.05878821,9.01910305,11.55765055,10.31627512
5,infeasible,infeasible,0,0.155817032,20.03201214,8.604955912,20.47299164,19.29041815,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,16.86639311,14.79069209,22.76774339,8.64222002,infeasible,infeasible
6,22.19580965,19.627424,24.89816792,12.0077858,18.57599891,6.001640797,15.22084537,15.14869189,0,0.148578882,11.19934428,6.017883062,7.933254677,2.28115797,22.09090513,13.14083791,3.92124277,0.561868191,17.10005616,17.96338606
7,16.30429543,5.734409094,13.46289085,3.367633104,9.069620099,2.311476946,10.30935905,5.74612999,12.79121238,10.18720102,14.03600522,16.86873293,14.52751217,2.968573093,2.716661029,1.950061798,11.79144669,11.876091,0,0.137392044
8,13.97795088,3.822220802,18.0092208,1.929264784,13.86042634,4.232259989,20.55602542,2.590506077,19.92232808,11.87490201,12.82046668,3.374943018,0,0.163184166,21.82654803,10.06166196,11.57742118,2.090636015,21.4160117,4.134444952
9,20.02245659,15.84350896,21.66008198,16.46111298,18.99171044,24.42543387,19.67731806,20.19370294,11.27715802,2.760735989,23.197797,22.20145202,21.6953523,6.237301111,11.25923398,4.666975021,11.9354843,2.432816029,0,0.166892052
10,0,0.124651194,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible
11,17.43167955,16.57547188,20.72004356,4.740801096,17.58295635,12.48678708,20.33291258,12.66096115,12.93340795,2.206502914,15.843282,4.201689005,0,0.122739792,20.79207671,3.166047096,14.21886013,5.109396935,20.69990347,3.780757189
12,19.95594108,20.22828102,20.98210454,8.08789897,16.59391171,20.82441115,14.122191,11.51074481,12.01607844,2.404251099,17.4774474,13.322788,22.83948408,21.43762612,13.66817122,11.27709198,10.89036945,1.471659184,0,0.150758028
14,infeasible,infeasible,0,0.166693926,17.73417707,3.454720974,16.7478852,15.83940291,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,21.89437768,13.51527309,24.49348798,4.337379932,infeasible,infeasible
15,17.87165597,12.68494201,15.84360243,1.962101936,21.9596595,19.42937493,7.13644113,1.219294071,infeasible,infeasible,0,0.132569075,24.15035533,16.99677896,21.74737575,22.633214,11.83100071,4.213938951,24.68474875,8.875362873
16,21.65439124,13.359653,infeasible,infeasible,13.72832143,5.117776871,15.94007248,3.376726866,18.41296812,2.979007006,24.46646212,8.60155201,infeasible,infeasible,10.66522316,1.48667407,11.71392367,1.032986879,0,0.1350739
17,infeasible,infeasible,infeasible,infeasible,24.67595782,3.29984808,12.2377035,1.474485874,infeasible,infeasible,24.67063001,3.281686068,infeasible,infeasible,0,0.131434917,infeasible,infeasible,infeasible,infeasible
18,infeasible,infeasible,12.55561931,1.226486921,16.62130297,3.371177912,0,0.109124899,24.16220536,2.386543036,17.18086939,2.481545925,20.75178283,3.289394855,infeasible,infeasible,20.22594149,2.497663021,infeasible,infeasible
19,21.03847967,29.2135911,20.34946012,9.560763121,14.2805117,12.8996551,15.41234978,7.815644026,0,0.141969919,21.38023014,24.654773,16.53105402,9.778928041,15.76647325,12.38038301,15.43873766,15.2010932,16.2445068,17.54923201
20,19.87147951,5.965340137,23.10312801,2.600352049,24.15673275,68.58619094,12.70084228,3.556758165,18.58247668,4.130985975,15.16453037,17.23659205,infeasible,infeasible,3.630573636,0.788620949,14.81499798,5.892653942,0,0.213358879
21,24.35219651,21.16804194,21.93300252,2.898486853,18.44497849,26.68814206,21.35995094,8.743120909,22.55863029,14.50250101,19.64517737,11.81038094,0,0.118552923,infeasible,infeasible,16.89565701,7.356440067,infeasible,infeasible
